City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Sao Filipe,CV,70.95,clear sky,14.8961,-24.4956,Hotel Xaguate
14,Bambous Virieux,MU,76.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
17,Puerto Ayora,EC,71.38,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Rikitea,PF,77.13,overcast clouds,-23.1203,-134.9692,People ThankYou
29,Arraial Do Cabo,BR,75.11,clear sky,-22.9661,-42.0278,Pousada Porto Praia
30,Vao,NC,74.01,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
38,Vaini,TO,73.56,light rain,-21.2,-175.2,Keleti Beach Resort
41,Ciudad Guayana,VE,78.53,scattered clouds,8.3533,-62.6528,Hotel Las Americas
48,Estelle,US,75.2,clear sky,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
50,Beyneu,KZ,74.61,overcast clouds,45.3167,55.2,NUR
51,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Pirineos
52,Soyo,AO,74.14,heavy intensity rain,-6.1349,12.3689,Hotel Mpampa
54,Coxim,BR,79.3,overcast clouds,-18.5067,-54.76,Hotel Avenida
59,Jardim,BR,74.39,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
60,Saint-Philippe,RE,76.21,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
69,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
73,Geraldton,AU,77.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
76,Loandjili,CG,73.51,light rain,-4.7561,11.8578,Résidence ARCHANGE
93,Wanning,CN,78.55,overcast clouds,18.8003,110.3967,Paradise Hotel
94,Cairns,AU,76.1,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
97,Laguna,US,73.38,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
105,Atar,MR,73.31,broken clouds,20.5169,-13.0499,Oumou Elghoura
