City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,-21.2078,-159.775,82.45,78,20,12.66,few clouds
1,Filadelfia,US,39.9523,-75.1638,53.49,23,0,13.8,clear sky
2,Ushuaia,AR,-54.8,-68.3,35.26,87,20,4.61,few clouds
3,Victoria,HK,22.2855,114.1577,81.97,85,100,18.01,overcast clouds
4,Mayo,US,38.8876,-76.5119,52.11,66,0,1.01,clear sky
5,Mataura,NZ,-46.1927,168.8643,60.91,70,89,2.77,overcast clouds
6,Sao Filipe,CV,14.8961,-24.4956,70.95,69,9,8.03,clear sky
7,Te Anau,NZ,-45.4167,167.7167,59.32,71,100,5.35,overcast clouds
8,Zheleznodorozhnyy,RU,55.7503,38.0042,36.95,77,81,9.44,broken clouds
9,Dicabisagan,PH,17.0818,122.4157,87.48,65,90,7.52,overcast clouds
10,Tucuma,BR,-0.1833,-50.05,75.78,95,100,4.7,overcast clouds
11,Naze,JP,28.3667,129.4833,67.12,79,100,9.91,light rain
12,Daur,PK,26.4583,68.3192,85.91,14,8,8.84,clear sky
13,Auki,SB,-8.7676,160.7034,82.83,75,93,2.48,overcast clouds
14,Bambous Virieux,MU,-20.3428,57.7575,76.21,83,75,2.3,broken clouds
15,Pachino,IT,36.7186,15.0907,58.6,61,41,3.0,scattered clouds
16,Billings,US,45.7833,-108.5007,44.37,81,100,9.22,overcast clouds
17,Puerto Ayora,EC,-0.7393,-90.3518,71.38,92,55,5.19,broken clouds
18,Ilulissat,GL,69.2167,-51.1,19.42,73,100,23.02,overcast clouds
19,Bhadrachalam,IN,17.6667,80.8833,98.46,33,40,7.65,scattered clouds
20,Nanchong,CN,30.7951,106.0847,61.21,75,100,11.1,overcast clouds
21,Norman Wells,CA,65.282,-126.8329,42.84,52,20,9.22,few clouds
22,Albany,US,42.6001,-73.9662,45.28,40,1,6.91,clear sky
23,Busselton,AU,-33.65,115.3333,66.18,54,0,2.8,clear sky
24,Pacific Grove,US,36.6177,-121.9166,58.68,75,0,5.01,clear sky
25,Provideniya,RU,64.3833,-173.3,33.85,89,99,12.35,overcast clouds
26,Kimbe,PG,-5.5502,150.1429,86.52,69,98,1.57,light rain
27,Rikitea,PF,-23.1203,-134.9692,77.13,68,100,16.15,overcast clouds
28,Faya,SA,18.3851,42.4509,59.11,49,36,2.89,scattered clouds
29,Arraial Do Cabo,BR,-22.9661,-42.0278,75.11,87,3,9.98,clear sky
30,Vao,NC,-22.6667,167.4833,74.01,76,100,24.92,overcast clouds
31,Portland,US,45.5234,-122.6762,54.18,88,100,3.44,moderate rain
32,Kholmsk,RU,47.0511,142.0569,38.8,52,60,15.37,broken clouds
33,Dunedin,NZ,-45.8742,170.5036,58.8,75,87,7.0,overcast clouds
